gene,logFC,logCPM,P.Value,adj.P.Val
2310047D07Rik,-0.259519789,-2.297678021,0.859451962,1
Tcp11l2,-0.259496742,4.196019081,0.044906555,0.500760521
Panx2,-0.259483282,7.413173113,0.003715092,0.128341475
Pcdh10,-0.259393378,6.941232175,0.005940184,0.170022919
2900055J20Rik,-0.259384651,1.787817552,0.284684689,0.981272959
Gm16353,-0.259333958,-1.597257382,0.693125333,1
Creld1,-0.259300576,6.145866321,0.008832375,0.215814404
Ckap4,-0.259279298,4.807278778,0.033431972,0.435623875
Efcab9,-0.25915929,-1.127344322,0.638813659,1
Arrdc3,-0.259067987,5.505559379,0.029879398,0.411311086
Gabrb2,-0.2590524,6.537469375,0.009024902,0.217781776
Mettl24,-0.258887143,0.809999567,0.35202873,1
Ednra,-0.258878047,2.717668238,0.147949697,0.798025079
Katnal1,-0.258685047,6.265860004,0.00638192,0.178177559
Lipa,-0.25848829,4.768811465,0.032741986,0.430133623
Ccpg1,-0.258248375,0.50424292,0.425217335,1
4930516B21Rik,-0.258244944,1.754230731,0.255417045,0.958125612
Efcab14,-0.25811061,5.600817745,0.00930622,0.220455505
Gm43462,-0.258053856,-1.597767132,0.710728643,1
Cdh10,-0.257963551,5.071733437,0.022392176,0.358776983
Gm10605,-0.257896108,2.223967062,0.196133925,0.878696181
Paqr4,-0.257867548,6.012976332,0.010149525,0.231918692
Sbk1,-0.257758909,6.864922821,0.006171727,0.175529369
Dlx1,-0.257672922,5.380458518,0.022566346,0.360478832
Nr1h3,-0.257637753,1.789803753,0.281425234,0.97705743
Gpr84,-0.257431601,1.423800185,0.335133112,1
Dusp6,-0.257428434,5.646332176,0.010101142,0.231053015
Thap1,-0.257309443,3.128088667,0.104541798,0.706383967
Ptprm,-0.257136669,5.134672579,0.017957204,0.316266425
Rbm20,-0.257029291,1.598201489,0.337604932,1
Gm10629,-0.256996105,-1.59622271,0.690009355,1
RP23-35N23.1,-0.256944464,-1.126410812,0.626086272,1
Mrps25,-0.256871248,4.271810916,0.050802396,0.534121757
Stxbp4,-0.256861451,4.607224272,0.067900311,0.605386989
Shisa8,-0.256652295,2.131905812,0.277365823,0.974529227
Spata3,-0.256514982,0.14502682,0.484885503,1
Igdcc4,-0.256497308,6.103336279,0.005717443,0.166660135
Ago2,-0.256497101,7.143608574,0.015270335,0.291485641
Gpr3,-0.256196391,2.369379087,0.214430994,0.906237715
Trim16,-0.256083965,0.875968262,0.359675823,1
Lhx2,-0.256001224,6.848814333,0.006841878,0.186235918
Gm43832,-0.255950996,-2.297720071,0.848305211,1
Tmem125,-0.25551735,2.371336312,0.230396536,0.933659923
Pcdha3,-0.255516956,1.518866261,0.271289147,0.970490908
Plk5,-0.25533986,4.571581297,0.106264523,0.710071211
Gm38080,-0.255259143,-0.6105014,0.566391652,1
Hrh2,-0.255197401,3.036119512,0.120962741,0.742273314
Gm6108,-0.255177404,-2.297819245,0.847565302,1
Gm4134,-0.255080013,-0.333149994,0.55386526,1
Pcdhb9,-0.254994672,4.265015501,0.04484754,0.500467762
Arhgap28,-0.282578376,0.540266633,0.457847581,1
Slc25a37,-0.254588545,4.741342802,0.036079989,0.453482603
Plp1,-0.254546751,9.837458407,0.014451663,0.28301102
4930447N08Rik,-0.254491465,-0.921431289,0.597202631,1
Ucma,-0.254465744,0.552871805,0.453995302,1
Alpk3,-0.25444975,-0.742427718,0.618806353,1
Pecam1,-0.25440459,4.551918684,0.152558606,0.803841514
Rnf180,-0.254283085,3.144546324,0.117190182,0.732100178
Gart,-0.254184459,4.400429047,0.048107424,0.519224456
Zeb2,-0.254125582,8.068629772,0.009788526,0.22734103
E130309D02Rik,-0.254125234,4.766378588,0.030791725,0.417405753
Nek8,-0.254084399,1.799380284,0.258708957,0.959876926
Itga5,-0.254055483,1.875769766,0.295582269,0.982492329
Elavl4,-0.254048604,6.140329405,0.046101846,0.507758639
Tfap2a,-0.253995464,-1.32075938,0.665445337,1
Utrn,-0.253979869,6.03901867,0.015438414,0.2930552
Tbr1,-0.253934301,6.238665173,0.011845131,0.252288313
Gm45097,-0.253709039,-2.296246904,0.875137927,1
Mapk15,-0.253690987,1.354746192,0.416714743,1
Tmem196,-0.253629581,1.314131172,0.319122706,0.995211627
Vipr2,-0.253616352,0.146225016,0.562629491,1
Jun,-0.253613782,7.010573783,0.005350507,0.15917028
Cdhr3,-0.253430281,2.171015441,0.253049142,0.955637607
Rhobtb1,-0.253349594,2.387283715,0.185477552,0.865190836
Fxn,-0.253116855,2.204608651,0.194360414,0.878696181
Gm11619,4.100035228,-3.12648567,0.039343049,0.469239033
Hexim1,-0.253053863,6.104577943,0.012759751,0.263801664
Klhl4,-0.253014573,3.46391615,0.104065751,0.705521727
Gm11410,-0.252801231,-0.464037708,0.624048268,1
Abat,-0.252680892,8.073119299,0.005089969,0.154766461
Tmem198b,-0.252573897,2.754137397,0.168520492,0.834991044
Timeless,-0.252513308,1.638793024,0.257414829,0.959379865
Chpt1,-0.252457991,5.438064872,0.014164736,0.279596898
Cyp2j12,-0.252066451,1.556002392,0.308649442,0.990570182
Kcnn4,-0.252017139,-0.888679783,0.602662416,1
Kcnip1,-0.252003916,4.225818791,0.11908225,0.736686103
Aldh18a1,-0.251906195,4.297539431,0.050991287,0.535170993
Prim1,-0.251904175,1.985736823,0.262703422,0.962220637
Slc1a4,-0.251731437,6.095071456,0.010487779,0.23534818
Gm14164,-0.251623666,0.235556498,0.536657442,1
Me1,-0.251614772,5.953750024,0.008085552,0.204376145
Myrf,-0.251581332,6.418198196,0.03392073,0.439050057
Plxnb1,-0.251368818,6.946703263,0.009826122,0.227631527
Esrrb,-0.251299101,1.232326071,0.35282775,1
Ppard,-0.251188449,4.791249638,0.025469431,0.383046239
Kcnh6,-0.251111566,1.498026273,0.314974922,0.993798242
Fzd7,-0.25101325,4.38411356,0.073682008,0.622864673
Ptch1,-0.250533819,5.960526085,0.009437223,0.22202352
Cnst,-0.250474985,5.717427819,0.017962818,0.316266425
Hist3h2bb-ps,-0.250448611,-1.870888512,0.771664271,1
Dthd1,-0.250298583,-1.871841917,0.795476724,1
Gm45603,-0.250280924,0.409270384,0.457719784,1
1700001C02Rik,-0.250229732,-0.079665928,0.537834249,1
Mobp,-0.250079863,9.887437836,0.006978673,0.188006043
Ankrd29,-0.250079544,4.468139386,0.038248729,0.46458295
9230009I02Rik,-0.249960119,-1.871430014,0.764119087,1
Rab20,-0.000891682,0.957663796,1,1
Vat1l,-0.249839493,5.727318971,0.174559313,0.846178431
Tmem108,-0.249803353,5.522661389,0.031512354,0.42155166
Nptx2,-0.249791033,4.648757958,0.180402946,0.854755124
Mtmr4,-0.249728881,6.478417505,0.007298646,0.191580647
Pcdh8,-0.249698997,6.38803509,0.008420857,0.208684778
Entpd5,-0.24959362,5.278032053,0.02163209,0.351537603
Ngb,-0.249579373,1.628067495,0.344997749,1
Stat6,-0.249542684,3.836306559,0.125838525,0.756417499
Gm15204,-0.249455761,-2.296903383,0.864963313,1
Mapre2,-0.249451618,8.088739936,0.005442339,0.161197476
Mdc1,-0.249420899,4.657018895,0.047510217,0.517084405
Ppfibp2,-0.24942009,3.505321055,0.178746492,0.852244953
Zfp516,-0.24936451,4.591729238,0.037156608,0.45963602
Tfb1m,-0.249190786,2.032134355,0.240703914,0.944058348
Ing1,-0.249133994,4.451639432,0.038210489,0.464325679
Efnb1,-0.249052459,4.187933436,0.054047281,0.552654766
Ganc,-0.248916829,3.56017658,0.102223147,0.700697263
Zfp219,-0.248868776,5.587693846,0.014362165,0.282265794
Gm16618,-0.248827685,-0.712771321,0.560691039,1
Farp2,-0.248789757,2.833545836,0.150089717,0.799655923
Satb1,-0.248770104,6.636315748,0.012904308,0.265901036
Zfp54,-0.248768416,0.422864837,0.443033126,1
Ppef1,-0.248688734,-1.087426208,0.635030653,1
Gad1,-0.248410156,8.031482842,0.004289861,0.139011919
B430218F22Rik,-0.24829733,-1.871283972,0.759479969,1
Rbm19,-0.248215728,3.627973733,0.098457156,0.692328539
Anxa2,-0.248201709,3.637347904,0.168185315,0.834924466
Hsp90b1,-0.248164362,7.654103032,0.00520303,0.156102088
Scd2,-0.248120642,10.94123093,0.004040757,0.13380706
Galnt10,-0.247992592,3.835200276,0.0755056,0.628712888
Plxdc2,-0.247802493,5.479266842,0.019508585,0.330343928
Cndp1,0.640352583,0.128027309,0.12341119,0.748163161
Klhl28,-0.247648879,3.360584949,0.140690501,0.788786779
Cnga3,-0.247591299,-1.870800909,0.786119289,1
Ankrd34b,-0.247438702,4.499785357,0.087837021,0.665069185
Fah,-0.247235318,4.197365988,0.061953891,0.587508726
Sema4c,-0.247165786,3.505357422,0.119604808,0.738743558
S100a11,-0.247115094,2.277396084,0.219005534,0.914875787
Clec4n,-0.247052945,-1.871305025,0.765922224,1
Plxnc1,-0.247042844,5.881647072,0.025501906,0.383084799
Klhdc8a,-0.247032759,3.497881,0.19914797,0.88034934
Sema3a,-0.246993515,2.179763628,0.301254937,0.982492329
Rgs4,-0.246963307,6.735587815,0.026688726,0.391726582
Adrb3,-0.246622485,0.565645128,0.442799166,1
Gas1,-0.246528319,4.147333589,0.12948045,0.76464442
Rubcn,-0.246414751,6.427783083,0.010251825,0.23312838
Ccdc97,-0.246379914,5.705173882,0.022062281,0.35614829
Mob3a,-0.246323904,1.962511523,0.260896987,0.960436023
Erc1,-0.246245689,5.977085141,0.013163829,0.269405013
Fadd,-0.246184284,1.715241881,0.329582596,1
Dnajc28,-0.246129514,3.595955588,0.111339122,0.724358434
Stn1,-0.246085169,3.03827424,0.133785898,0.77581
Zbtb26,-0.246019005,3.048057785,0.168510137,0.834991044
Gatm,-0.245939713,6.849330936,0.012556916,0.262115998
Smarce1-ps1,-0.245794202,-1.870599263,0.787716667,1
Pcdhga9,-0.245776693,3.44427624,0.109513988,0.719631456
Kcna3,-0.245740322,2.663919802,0.160454802,0.821752323
Gimap1,-0.245718002,-0.078079773,0.534348058,1
Zdhhc18,-0.245682467,5.311618033,0.022642267,0.360838192
Gramd4,-0.245679481,5.090028525,0.025100353,0.380134688
Avpr1b,-0.245576894,-0.854903428,0.629537152,1
Usp43,-0.245574524,0.748043696,0.437046729,1
Mrrf,-0.245510159,3.977616122,0.063633363,0.590958761
Rai2,-0.245451932,3.227796499,0.132971345,0.774054749
Kif19a,-0.245388465,2.005347542,0.234330664,0.938123325
Emx2,-0.245377262,4.319127973,0.064592838,0.595679993
Zfp97,-0.245348536,0.448956929,0.472551337,1
Tead4,-0.245032484,-0.076927608,0.560067029,1
Ttbk1,-0.245008526,7.152280176,0.006897823,0.187383971
Bicc1,-0.244951528,3.501398329,0.141051753,0.788786779
Tmem151b,-0.244925075,7.122762146,0.005663724,0.166439943
Ntn4,-0.244705539,3.332082709,0.18604493,0.866339715
Mitf,-0.244688816,3.668578335,0.149765358,0.799179192
Slc45a3,-0.244663658,-0.187887113,0.571579882,1
Sel1l3,-0.24460539,5.651762153,0.018622867,0.32249659
1110002E22Rik,-0.244555911,1.765607687,0.27842282,0.974529227
Chst7,-0.244551529,1.408169695,0.326920461,1
Efhc1,-0.244551111,1.16996362,0.353856477,1
Celsr1,-0.244491613,3.854392113,0.093396422,0.67757212
Tmem50b,-0.244410255,6.618906243,0.006973819,0.188006043
Crybg3,-0.244292862,2.925939817,0.172648344,0.842156648
Nipal3,-0.24423445,6.653156074,0.01176323,0.251330548
Sfpq,-0.24407748,7.66454522,0.023413481,0.367116908
Rfxank,-0.243965988,3.384877307,0.114838842,0.729189442
Cdh1,-0.913490458,1.480767377,0.017833098,0.315056209
Rgs19,-0.24379704,4.167974124,0.058519645,0.572369649
B930082K07Rik,-0.2437868,0.295474463,0.504134147,1
B230354K17Rik,-0.243781851,3.782251361,0.112672765,0.727599792
Neil2,-0.243749807,0.64514714,0.417101012,1
Slc22a23,-0.243572639,6.020314736,0.017308162,0.309748957
Henmt1,-0.243564514,0.634234787,0.518411938,1
Fam89a,-0.243431141,0.374533753,0.449814299,1
Gm13509,-0.243295816,2.759541008,0.168624018,0.834991044
Adamts15,-0.243190849,2.225879012,0.239846414,0.942624805
Rsph4a,-0.243079995,2.398715072,0.237502637,0.942119174
Cd6,-0.242999294,-1.274227185,0.662764557,1
Mettl3,-0.242975796,3.945161385,0.088393452,0.66523889
Deup1,-0.242905505,-1.049758106,0.647174038,1
RP23-158E1.3,-0.2428816,-0.682660921,0.587477269,1
Ssbp3,-0.242877013,7.294809496,0.00956818,0.22471602
Trip10,-0.242827686,2.665336891,0.198225343,0.880067501
Usp6nl,-0.242575606,4.665463179,0.034477188,0.443488103
3110062M04Rik,-0.242446581,1.416539932,0.302760125,0.982492329
Bsg,-0.242316293,8.852284727,0.03711448,0.45963602
Chst14,-0.24219374,1.352986197,0.337816576,1
Gfod2,-0.242173666,3.96037861,0.068034853,0.60590301
Gm29502,-0.242096285,-1.540862716,0.732721632,1
Fbxw10,-0.242064535,0.137862407,0.504215465,1
Fnbp1,-0.24200943,7.387143485,0.008110158,0.204406017
Smarca4,-0.241963023,7.284367771,0.010331757,0.233968748
Pcdhb21,-0.24178714,1.933488534,0.263212439,0.962822737
P2rx1,-0.241771269,-0.853708272,0.602154578,1
Arhgef12,-0.241692406,8.066777224,0.006911764,0.187388659
Mag,-0.241509527,7.259329638,0.02496029,0.379988301
March4,-0.241249376,4.38949964,0.080881283,0.644304514
Pdzd7,-0.241221286,2.035669883,0.261938758,0.961172754
Mns1,-0.241108021,1.674918547,0.300531926,0.982492329
Hbq1b,-0.240960774,-1.541530297,0.722525679,1
Pygm,-0.240910825,5.228994979,0.029119946,0.407316145
Mthfs,-0.240863338,0.310103412,0.459630881,1
Ncoa2,-0.240705265,6.759978373,0.01089574,0.241319803
Fam184b,-0.240701083,2.704877339,0.199285485,0.880507438
Rbm47,0.114845848,2.227191131,0.750585137,1
Fam149a,-0.240561489,4.560979363,0.050831647,0.534126855
Lhfpl5,-0.240498057,1.417686071,0.373785608,1
Cnnm2,-0.240484938,5.394103142,0.027016149,0.3943054
Sobp,-0.240422187,7.22970256,0.011264642,0.247077801
Spink10,-0.240405106,0.151484275,0.513993402,1
Ptp4a1,-0.240235755,4.717305297,0.041142839,0.480423175
Fam13b,-0.240114568,5.464870563,0.024268063,0.373214513
Adam8,-0.240012519,1.836722518,0.349213336,1
Srrm3,-0.240007877,6.143149815,0.012061363,0.255494401
Kcnh5,-0.239900191,2.092726095,0.244661353,0.94602182
Sh3kbp1,-0.239828652,5.018126004,0.038376337,0.465293875
Mcf2,-0.239653574,2.130619992,0.280827152,0.97675889
Mllt1,-0.239525353,6.586646349,0.010451909,0.235062145
Lyl1,-0.239430017,1.84980036,0.268505824,0.969061418
Bcl9l,-0.239193647,6.303869939,0.025126953,0.380134688
Slc18b1,-0.23916736,4.49893112,0.06014855,0.578940425
Traf2,-0.239133123,3.023865753,0.138369977,0.784676834
Lpcat3,-0.238876725,4.446519857,0.085973471,0.660103314
Tshb,-0.238865657,0.547999883,0.464618839,1
Hdac5,-0.238755156,7.477238456,0.015549517,0.294337865
Mgat5,-0.238428283,6.483623842,0.01160826,0.249389772
Samd4b,-0.23835506,6.670682753,0.013539847,0.27199604
Tnfrsf1a,-0.238274262,3.965473268,0.120004921,0.739924025
Slc13a3,-0.238065649,4.262017777,0.155932362,0.811253609
Pcdhgb1,-0.237903546,3.327259678,0.170884694,0.839163157
Snx27,-0.237795321,7.168271028,0.008663607,0.212071395
Ints3,-0.237790877,6.196425269,0.015429732,0.2930552
Fam124a,-0.237756247,4.141445407,0.084590506,0.654320427
Sox3,-0.237753623,1.150481914,0.404458219,1
Brinp3,-0.237658312,3.742916346,0.163221151,0.828431795
Hs3st1,-0.237537863,4.362015314,0.081278879,0.644901695
Kcnj9,-0.237465954,6.509969852,0.015268796,0.291485641
CK137956,-0.237258878,0.324810773,0.475841406,1
Zfp493,-0.237147833,1.405357506,0.350022117,1
Abcc6,-0.23709468,0.416405093,0.464544224,1
Tmem184b,-0.236956753,6.296150184,0.016680832,0.304153783
Fam43b,-0.236921453,4.951261511,0.054096858,0.55282643
A830009L08Rik,-0.236898771,-1.273178962,0.74555431,1
Trim47,-0.236889423,2.215158078,0.278039149,0.974529227
Dpp4,-0.236811001,1.416600596,0.450959318,1
Fam71d,-0.236805453,-2.210536166,0.874381717,1
Plch1,-0.236452863,3.850442195,0.164129685,0.83072016
Nfkbie,-0.236426216,1.522468492,0.32003739,0.99627376
Iba57,-0.236377392,3.039535983,0.154877632,0.807965401
Lcp1,-0.23625408,4.048645598,0.111820199,0.72482925
Parp4,-0.236202064,3.286978633,0.16221364,0.825808954
Blcap,-0.236178534,6.54486553,0.011336086,0.247500872
Rps6kc1,-0.236071035,5.25781702,0.029740229,0.410645931
Mecom,-0.236040032,1.755806888,0.341601493,1
Entpd3,-0.235845642,3.087859793,0.189115757,0.871626306
Zfyve1,-0.235829736,5.429313118,0.024701885,0.376897595
Gm13187,-0.235658485,-1.806532138,0.790441548,1
Siglec1,0.166713223,0.2629743,0.692541457,1
Gm15411,-0.235386627,0.964418851,0.406779021,1
Npepps,-0.235340296,7.198142037,0.010502251,0.235478808
Usp31,-0.235249161,6.759568793,0.017480945,0.311204258
Fam186b,-0.235178352,0.502815603,0.477626321,1
Tshz1,-0.235083872,5.23007443,0.024111173,0.371423956
Nkain1,-0.234989215,4.75845532,0.049139485,0.523103942
Ush1g,-0.234870098,0.340267512,0.492968708,1
2610037D02Rik,-0.234684409,1.091270185,0.40778809,1
Atp1a2,-0.234675483,9.933363805,0.011762407,0.251330548
AI849053,-0.234625075,1.574887864,0.326394554,1
Dlec1,-0.23461045,2.126147063,0.319550775,0.995546504
Gm45311,-0.234399902,-1.01174987,0.619793664,1
Pcsk6,-0.234291389,4.987436501,0.036497892,0.456438801
2010015M23Rik,-0.23424281,0.256642296,0.502088156,1
Fam65b,-0.234229736,6.114314509,0.025151454,0.380134688
Chchd5,-0.234127533,3.01791187,0.157924705,0.816774449
Tmem159,-0.23407839,2.97953965,0.146595223,0.795616641
Slc32a1,-0.233980267,6.686624251,0.011495831,0.248149502
Sox1,-0.233862368,4.716862281,0.090637935,0.6697069
Plekhg1,-0.233822046,4.87757428,0.100213608,0.694807545
Arhgef15,-0.233806612,3.391703417,0.211414306,0.901425034
RP24-131G14.10,-0.233723859,-0.65346101,0.587201448,1
Itch,-0.233645529,5.954472897,0.014674745,0.286341618
Rexo4,-0.233617961,4.926072933,0.040287014,0.474108312
Hs3st5,-0.233560722,0.692271728,0.456550683,1
Gm19503,-0.233483544,-1.806166629,0.775391013,1
Nynrin,-0.233477038,2.521496014,0.218692065,0.91412746
Mpc1-ps,-0.233464864,2.393451414,0.209925263,0.899329153
Notum,-0.233369779,1.673853114,0.317981619,0.994766081
RP24-490H13.5,-0.233317872,-2.773361427,1,1
Ascl1,-0.233245823,3.206977128,0.209996602,0.899329153
Gm12788,-0.23322873,-1.010930832,0.641556534,1
A930029G22Rik,-0.233213172,0.491068176,0.458574953,1
Slc41a2,-0.23290536,4.22563387,0.071539323,0.618191733
Gm15483,-0.232717298,-1.805447069,0.792718593,1
Ttll12,-0.232662851,4.241911134,0.082389325,0.647653767
Ect2l,-0.232660244,-0.652905729,0.597505755,1
Khdrbs3,-0.232610674,6.914965579,0.009431081,0.22202352
Gm2423,-0.232541183,-1.490611788,0.713800311,1
Acot7,-0.232535419,7.627944221,0.010645632,0.237639418
Trim6,-0.23248866,-1.805801077,0.786419743,1
Tmod1,-0.23248837,4.251601053,0.066635643,0.601229858
Dnajc12,-0.232418373,3.252828604,0.171992659,0.8408197
Zbtb7a,-0.2323885,7.399144042,0.013836271,0.276842002
Gm17552,-0.232361333,-0.002896505,0.545617417,1
Gm6682,-0.232328657,-1.011347638,0.625425848,1
Msi1,-0.232230483,5.632381204,0.02766346,0.399045779
Gm4974,4.315384815,-3.047877985,0.043726145,0.495947309
Tmem74b,-0.232135392,1.182622317,0.409869208,1
Fermt2,-0.232102276,6.464644974,0.018386889,0.320218445
Gm4593,-0.232100794,-1.011128722,0.657873977,1
Camk2n2,-0.232061797,7.125582285,0.031959126,0.423734739
Tnfsf10,-0.23204505,2.062267124,0.356615018,1
RP24-219P17.7,-0.232023869,-0.477272588,0.566191127,1
Parm1,-0.2319991,6.516146745,0.020416742,0.341363893
Adcy5,-0.231994831,7.499832339,0.011642568,0.249732626
Glp1r,-0.231939848,0.185880093,0.551901967,1
Chtf8,-0.231785182,5.94260241,0.019192416,0.32753452
A330008L17Rik,-0.231711277,2.556805956,0.244124118,0.94578117
Wdr76,-0.231655738,1.781041636,0.29186772,0.982492329
Rab13,-0.231616719,2.020558406,0.283724334,0.979485059
RP24-282C4.4,-0.231612228,-0.220522647,0.601944567,1
Etv5,-0.231594828,6.254794372,0.015765574,0.296571478
Dtx1,-0.231583625,6.950903297,0.014699085,0.286468114
Fam65c,-0.249944156,-1.088013454,0.608457852,1
6330408A02Rik,-0.231527081,3.713537086,0.098219537,0.691873209
Trove2,-0.231469076,5.905379992,0.029316967,0.407770994
Zfp933,-0.231419862,4.037122693,0.118343853,0.73401301
Hspa8,-0.231329887,10.22357415,0.016266643,0.300392152
4933439K11Rik,-0.231307915,-1.230908711,0.670038393,1
Frmd3,-0.231283277,1.705482338,0.309060007,0.99079036
Teddm2,-0.231270659,1.240883931,0.356614742,1
Usp29,-0.231263201,4.993613619,0.064831902,0.596392146
Gm5083,-0.231237822,-0.975615644,0.665216713,1
Bmpr1b,-0.231220188,4.731190391,0.079836972,0.64105085
Gm16702,-0.231209315,2.184910432,0.257098071,0.958661209
Barx2,-0.231192925,-0.003075752,0.550293786,1
Fam46b,-0.231061463,-1.489740645,0.719310874,1
Gm9922,-0.230969125,-1.80543284,0.76321045,1
Lrp4,-0.230942553,5.441830524,0.027973763,0.400334091
Fgf9,-0.230928872,3.750569328,0.120064,0.740068406
Gtf2e1,-0.230905003,4.184029723,0.068136264,0.60590301
Plekhm3,-0.230869542,5.545771278,0.03124808,0.421001629
Ttc25,-0.230844604,1.122451214,0.429539718,1
Gm3257,-0.230715578,0.833057079,0.421873482,1
Abca8a,-0.230624579,4.216056831,0.138921923,0.785536424
1700028K03Rik,-0.230605827,0.650268716,0.504649696,1
Wdfy3,-0.230590084,8.083256006,0.01528572,0.291574838
Prlhr,-0.230541433,-2.210473242,0.878204812,1
Snrk,-0.230496368,6.304158117,0.013858531,0.276967113
Mro,-0.230473961,3.697354336,0.105081441,0.707473861
Llgl2,-0.230465027,1.311385206,0.497019076,1
Gm9801,-0.230421215,1.276724578,0.415584958,1
Pltp,-0.230355253,5.904922803,0.151461828,0.800935612
Tyro3,-0.230310636,6.78343004,0.016845463,0.305513882
Dock1,-0.230231573,5.328382033,0.037632337,0.460403384
Gm20421,-0.230122645,-2.209724696,0.855407138,1
Zfp935,-0.230118257,1.058671135,0.402297197,1
Rab11fip1,-0.230094997,2.676791647,0.250462698,0.953509741
Vtcn1,-1.864248765,-3.596688975,1,1
Tacr1,-0.230018121,0.878574626,0.495706311,1
Zxdb,-0.230001849,3.352264427,0.159280961,0.818941009
RP23-388A21.2,-0.229907945,-1.804602739,0.772874425,1
Rbms1,-0.229894755,4.466345911,0.085285288,0.657452714
Gimap8,-0.229860513,0.202749397,0.552954573,1
Adamtsl3,-0.229804654,1.363081077,0.423535837,1
Gm9916,-0.229792019,-1.187886657,0.751640856,1
Ddr1,-0.229784814,6.801668683,0.022718957,0.361176792
Gm11437,1.31918523,-3.296459343,0.719659389,1
Spata2,-0.229640225,6.332473727,0.018948286,0.324832767
Kbtbd2,-0.229603679,5.381745197,0.031278757,0.421001629
Gm2824,-0.229484021,2.964860413,0.174363868,0.845570012
Igfbp2,0.011271505,6.425216792,0.963479297,1
Sel1l,-0.22925429,7.674948604,0.010067763,0.230677185
Adgrg1,-0.229253325,6.415408803,0.056160102,0.561807412
Gm26582,-0.229241988,-0.789515704,0.601811117,1
Cd36,-0.229231864,0.111308578,0.566706312,1
Edil3,-0.229170633,7.178259557,0.019547419,0.330690332
Ccdc33,-0.229126959,0.540943601,0.514286543,1
Chst10,-0.229112343,5.905118208,0.022893594,0.362565567
Gm7964,-0.228909038,2.85202078,0.182741624,0.860444043
Shc3,-0.228895214,4.574841588,0.056526393,0.562577121
Vmn1r4,-0.228865123,-2.209453519,0.850760049,1
Tssk1,-0.228835157,-1.806048035,0.798228339,1
Stox2,-0.22876899,7.32073876,0.010029305,0.229989621
Csf2rb,-0.228721134,1.371911967,0.365684844,1
Pomt1,-0.228717992,3.785303065,0.113793236,0.729189442
Phex,-0.228700055,-1.231729797,0.719820258,1
Sox30,-0.228675735,-2.210045848,0.858650366,1
Aig1,-0.228635439,5.134540764,0.031487426,0.42155166
9430002A10Rik,-0.22861665,-2.209173781,0.868146599,1
Gpam,-0.228616418,5.810674704,0.021951221,0.355239145
Traf3,-0.228578118,6.601643252,0.01610561,0.29985958
Fndc3a,-0.22851422,5.844045694,0.024089819,0.371305134
D330041H03Rik,-0.228443341,0.112349862,0.524775228,1
Pcdha12,-0.228343517,2.383093207,0.26950687,0.970238991
Jak3,-0.228327424,2.919199637,0.195673729,0.878696181
Lhfpl2,-0.228043922,5.303807727,0.027967108,0.400334091
Cblc,-0.227840838,-2.773554098,1,1
Cdh7,-0.227800443,2.804621769,0.268459215,0.969030611
Pcdhgc3,-0.227491563,6.669684272,0.015927072,0.29782215
Ttbk2,-0.227485928,6.340212648,0.018457351,0.320740777
Kcna2,-0.227445038,7.456566267,0.017277073,0.309748957
Wasf3,-0.227422043,7.281007641,0.009991442,0.229508071
Rassf8,-0.227353929,4.588395911,0.072608332,0.619457767
Cep85l,-0.227182008,4.538668345,0.058272325,0.571593762
Zmynd10,-0.227144088,1.768648656,0.300993235,0.982492329
Marveld3,-0.219060526,-0.234163786,0.693765827,1
Gm16505,-0.227055488,-2.209400442,0.858389376,1
Gm17931,-0.227006879,-1.804878413,0.786147403,1
Usp35,-0.226585004,4.421110603,0.086464807,0.660665457
Arhgef16,-0.226542545,0.541253434,0.536771355,1
Gm21986,-0.226539366,-0.975960409,0.658167001,1
Gm26909,-0.226418041,-1.189023966,0.703190529,1
Abcg5,-0.226405092,-2.773870343,1,1
Rpl36a-ps1,-0.226400331,-2.209422758,0.856628927,1
Gm18294,1.990333711,-3.126499918,0.256922712,0.958580134
Mlec,-0.226231464,7.050794204,0.017512543,0.311563013
Fam234a,-0.22586608,4.17526091,0.082964378,0.648747594
Btrc,-0.225833217,6.907199097,0.017836209,0.315056209
4931429L15Rik,-0.225814438,-1.805066784,0.802911978,1
Gm6305,-0.225694876,-2.209156802,0.865774253,1
Scn2b,-0.225626252,7.871378686,0.011963745,0.254077116
Nhlrc4,-0.225581201,-1.189391131,0.692097676,1
Slc13a4,-0.082615084,4.895279754,0.77712236,1
Cacng2,-0.225511676,6.128558451,0.018101154,0.317879614
Tspan33,-0.225442402,5.217235147,0.057801089,0.569189117
1110019D14Rik,-0.225395518,0.218378356,0.563628943,1
Tmem173,-0.225392328,2.397146837,0.239895545,0.942681786
Atp2b4,-0.225368227,7.12498737,0.054932636,0.556404894
Gad2,-0.225301127,6.880562749,0.019514807,0.330343928
Slc43a2,-0.225254032,5.927852978,0.035236918,0.449089191
Zfp618,-0.225115494,2.850648018,0.221253987,0.918629274
Lrrc63,-0.225100037,-2.77340632,1,1
Rap1gap2,-0.224980383,7.748716015,0.023702039,0.369301373
Gm36210,-0.22487625,-0.31981601,0.632391238,1
Rab3c,-0.22485943,8.639944541,0.055109023,0.556404894
Psd3,-0.224830733,9.137943843,0.015187528,0.290720471
Fcgr1,-0.224708322,2.438515289,0.278315155,0.974529227
Dixdc1,-0.22470684,6.561606573,0.017172809,0.30874759
1700037H04Rik,-0.224612624,5.171643766,0.045685056,0.504891281
