gene,logFC,logCPM,P.Value,adj.P.Val
Abcc4,0.265199412,4.280594596,0.051638545,0.539722121
Ttll13,0.265326398,0.561706066,0.4318436,1
Egf,0.2653692,0.942745442,0.345820377,1
Hspb11,0.265391226,2.204977491,0.206049419,0.893780821
Las1l,0.265395772,4.998597571,0.016847037,0.305513882
Fam71e1,0.265412198,1.975185971,0.204758585,0.890955871
Zfp276,0.26551347,4.031307134,0.044237839,0.498201893
Zcchc4,0.265613434,3.42222352,0.072091874,0.619425765
Trim25,0.265662943,3.19567302,0.115683937,0.72942246
Bambi,0.265735587,2.658899316,0.15467058,0.8079153
5530601H04Rik,0.265750844,3.602624389,0.059044052,0.573582827
Gm6563,0.265761765,0.295382165,0.42371252,1
Bet1l,0.265823329,3.935808838,0.045462065,0.503653807
C230014O12Rik,0.266209185,-0.540445959,0.553272267,1
Tpd52l1,0.266393294,4.410748108,0.029506817,0.409235817
Prr33,0.266428128,-1.389745258,0.744842031,1
Fnbp4,0.26655436,5.551304752,0.012796743,0.264131461
Fuk,0.266569819,4.361341937,0.035203384,0.449089191
3110039M20Rik,0.266756801,1.492590787,0.286987089,0.982492329
Platr8,0.266914299,-2.774063912,1,1
Hars2,0.266925748,4.152238732,0.037876453,0.461709386
Rps25-ps1,0.26693724,-0.401177393,0.526109386,1
Igf2bp2,0.266973851,-0.902826833,0.678052689,1
Cox7b,0.266975053,6.433988896,0.011799871,0.251587527
Dlgap5,0.26703972,-1.7428565,0.783503006,1
Plk1,0.267085634,0.800664119,0.380531443,1
Bmp1,0.267149171,5.581533467,0.010725729,0.23891517
Lsm8,0.267191166,3.624922161,0.05751562,0.568042926
Gm44737,0.267280203,-2.773431604,1,1
Slc7a5,0.267298008,6.298721078,0.008635693,0.211768974
Ccdc130,0.26743857,3.325214427,0.086089889,0.660103314
Gm13446,0.267461066,1.684152993,0.272861327,0.970490908
Elf4,0.267553295,1.658879023,0.281331411,0.977014673
Mcts2,0.267556911,2.755198934,0.131467395,0.771088739
Actl7a,-3.159934342,-3.390269874,0.3022008,0.982492329
Tmsb15l,0.267670829,-1.389314266,0.758413368,1
Arhgef1,0.267761091,5.652714614,0.016213932,0.30017837
Mecr,0.267822121,3.617351679,0.07597509,0.630300794
Arhgef37,0.267881209,0.813153811,0.353633108,1
Gm28616,1.885956193,-3.59637637,1,1
A930007I19Rik,0.26804589,0.509567997,0.402410092,1
Meg3,0.268110351,10.92640819,0.013967224,0.277915076
Gm15502,0.26812926,-2.774202841,1,1
Gm2109,0.268203735,-2.772890111,1,1
Ndufb5,0.268285288,6.244588836,0.017558769,0.31201046
Gm42691,0.268724209,-1.74215229,0.777647944,1
Tnni2,0.268983495,-1.389483076,0.767267828,1
Zfp300,0.269081536,1.410500218,0.281131003,0.976810548
Gm5454,0.269165562,1.526457323,0.291871721,0.982492329
Rnls,0.269249533,1.183792646,0.280990263,0.976810548
Trpc4,0.269347796,5.404419445,0.035068994,0.448158693
Epha10,0.269582987,5.391777998,0.023033725,0.363676323
1110038F14Rik,0.269705934,3.437588479,0.073086511,0.621109842
4732491K20Rik,0.269930346,1.35905236,0.266746713,0.966418542
Mis18a,0.269999437,2.580853083,0.1288862,0.763514167
Hook2,0.270022917,3.344167222,0.078333559,0.636128449
Fancm,0.27002531,3.669550241,0.052678521,0.545477622
Dgat1,0.27007142,3.939262622,0.048795977,0.521585062
Rps3a1,0.270287699,7.506883182,0.008982971,0.217697443
Krt75,0.270299652,-2.773859205,1,1
Zkscan16,0.270508602,5.138548846,0.030392118,0.415379414
Ndufa6,0.270508748,5.700512529,0.007969519,0.203308626
Dlk2,0.270519696,4.268755793,0.037719831,0.46083205
