,x,y,PAM50,Cohort,Class,color
BRCA-A1LE-01A,5.12816815549873,-10.4847926064446,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A08P-01A,8.55215281556202,-3.50314259583979,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A06X-01A,10.4962439821995,6.28371192117814,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0EE-01A,19.0948843969476,12.1227485530803,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A3XZ-01A,8.94579860685203,-3.64473852814408,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A08S-01A,-1.93707152902805,9.84444188894297,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A14V-01A,3.98973990327724,9.88730826046108,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A18R-01A,5.80447974481584,5.78068803529377,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A08B-01A,9.62312609264305,8.59024893125901,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1LB-01A,-2.67066098253523,4.4831104478095,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A2FB-01A,-6.61309220256666,-13.9093451525944,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A14P-01A,13.5859126733887,4.63467406128197,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1AT-01A,7.7809773544171,-4.88157140847513,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A07B-01A,2.03639573528632,2.58805513558098,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A08X-01A,14.1696343146399,-8.69873767848012,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A09I-01A,10.0184454052519,5.04932024570271,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A18U-01A,7.406728255458,4.46872709255536,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A24U-01A,8.50352286197215,-13.4086101750754,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1B0-01A,10.546736288338,-6.54264611649628,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A076-01A,3.06813169978069,2.20124918723004,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0CX-01A,5.73629647615132,-3.50543637939965,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0B7-01A,0.634908161510632,-12.7060346440903,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A255-01A,-4.59471099489403,-6.48941487260251,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1AX-01A,0.492394032777047,-11.5165340601678,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2LJ-01A,-0.829973605839539,-9.59264520197129,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0TX-01A,3.76550819403614,-8.28946971022109,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A254-01A,7.22656067008645,-7.12671292909951,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A04L-01B,1.47624431435228,1.78539498674481,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A18I-01A,-8.59157344474945,-8.81595194764069,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1F8-01A,0.646757832958146,7.66617371412826,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0BQ-01A,-10.2676001754961,-9.88507353258899,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1F2-01A,-4.59679715215187,-6.89093138712906,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0HY-01A,0.213239180906334,4.87500580310759,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0B6-01A,0.543656205303378,-10.1796960150498,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1EN-01A,0.566144711925681,5.75253527612102,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A22D-01A,8.74616219777474,-0.218581939436537,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A202-01A,9.71654238990648,-0.780835621827052,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1EV-01A,-4.13755285247379,3.02978908705488,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1ND-01A,20.2934596088337,-9.96167476335055,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A22E-01A,-5.5854873087848,-13.1602508713139,LumB,TCGA,LumB_TCGA,#FDBF6F
