TCGA-GJ-A3OU-01A-31R-A38B-07	TCGA-G3-A7M9-01A-23R-A352-07	TCGA-ED-A627-01A-12R-A311-07	TCGA-DD-AACB-01A-11R-A41C-07
ENSG00000006459	1.77347355127	1.85950261647	2.43012934964	0.458780548987
ENSG00000006468	0.988994709802	1.69700372064	0.572528473746	0.671289012744
ENSG00000006530	2.76076561073	6.47721653567	3.02363089018	1.19050071518
ENSG00000006534	6.54439290158	2.27645229594	1.89273452357	2.62207572374
ENSG00000006555	0.562214649009	3.07623134363	1.11603173867	0.470663033157
ENSG00000006576	2.55926012588	1.56247879205	1.48041137091	0.73865876808
ENSG00000006606	0.803637795031	3.2947393443	0.506733457746	0.534975789676
ENSG00000006607	1.33091316747	1.81002906275	1.39138896813	0.631302678077
ENSG00000006611	0.209352858357	3.95513426897	2.43171439076	15.4454722299
ENSG00000006625	16.3932333396	33.5002989811	10.4291971801	10.5565672903
ENSG00000006634	1.88645252801	6.03980430443	0.745916760504	0.599357955307
ENSG00000006638	2.19583994522	0.762357077507	4.21271953956	0.577794051786
ENSG00000006652	4.54561316564	5.26348121604	2.21336988216	1.02241491612
ENSG00000006659	0	81.4221298028	0	0
ENSG00000006695	2.62339265078	9.21160733477	4.53019498222	3.70202265186
ENSG00000006704	1.48018517677	6.25620586206	1.47121839183	1.52180471422
ENSG00000006712	21.2352982449	33.5392572118	22.9592969524	25.8161364477
ENSG00000006715	5.54827518959	4.65616295097	8.00766468638	2.73330104024
ENSG00000006740	0.323127533698	1.00829897807	0.349063635686	0.247871259986
ENSG00000006744	7.76674358305	14.979897812	10.6095104833	11.5318229946
ENSG00000006747	0.188283620517	0.649645783444	0.0444597366829	0.0295411846035
ENSG00000006756	4.26208376462	2.78193672496	8.06034569426	4.44459518731
ENSG00000006757	2.52823220299	4.95033610573	3.68508731159	4.89940074471
ENSG00000006788	0	0.310005764055	0	0
ENSG00000006831	24.0344849506	20.6234884899	19.5134144452	16.2390776529
ENSG00000006837	0.106055102256	0.134621618663	0.0910215806411	0.146013851894
ENSG00000007001	0.794902179596	0.0786637124476	0.860340606275	0.267068493029
ENSG00000007038	1.90922098863	5.52162288563	0.0202086550962	0.31420586658
ENSG00000007047	4.95942796261	10.2050031965	5.08803050002	6.26673213231
ENSG00000007062	0.490633243939	4.83307531091	4.6386189559	0.0969935561148
ENSG00000007080	32.1931860112	50.4667958511	25.3828012342	35.1837697522
ENSG00000007129	2.15071967057	0.819241038913	1.58215789799	6.18114397875
ENSG00000007168	8.29109610252	8.06251417218	9.5817745467	5.63600947034
ENSG00000007171	0.543456210049	0.90835954012	0.0904284083946	0.0411107745027
ENSG00000007174	0.00636455531204	0.00421506927077	0.0187281152293	0
ENSG00000007202	9.92642166297	12.8689875971	5.5913158118	7.05304371264
