"list1","list2"
"Module_99","Bhlhe40,Etv6,Il2ra"
"Module_100","Cct6b,Cct8,Hgh1"
"Module_101","Abce1,G3bp1,G3bp2"
"Module_102","Akr1c18,Jund,Vat1"
"Module_103","Lonp2,Ngdn,Thada"
"Module_104","Upf3b,Wibg"
"Module_105","Gcn1l1,Rwdd1"
"Module_106","Hyou1,Sil1"
"Module_107","Cbwd1,Pdia6"
"Module_108","Gramd1b,Tomm70a"
"Module_109","Appbp2,Dync1li2"
"Module_110","Hspd1,Ubl5"
"Module_111","Cdr2,Wee1"
"Module_112","Dnajc2,Nom1"
"Module_113","Nadk,Txnrd1"
"Module_114","Agpat5,Dip2b"
"Module_115","Shmt1,Shmt2"
"Module_116","Adam10,Adam17"
"Module_117","Ctnna1,Ctnna2"
"Module_118","Fpgs,Wdr74"
"Module_119","Mtdh,Rrs1"
"Module_120","Surf6,Utp11l"
"Module_121","Dcaf13,Dcaf4"
"Module_122","Pwp2,Xpr1"
"Module_123","Hemk1,Papolg"
"Module_124","Atxn7l3,Wdr75"
"Module_125","Stau1,Upf1"
"Module_126","Mthfd1,Mthfd2"
"Module_127","Lsm14b,Prmt3"
"Module_128","Bend3,Riok2"
"Module_129","Gtf2e2,Snd1"
"Module_130","Cry1,Cry2"
"Module_131","Kdm4a,Whsc1"
"Module_132","Pam16,Timm50"
"Module_133","Rab11fip3,Rab11fip4"
"Module_134","Arhgap44,Pip5k1a"
"Module_135","Lats1,Lats2"
"Module_136","Sult2b1,Tfdp1"
"Module_137","E2f4,E2f5"
"Module_138","Lrrc41,Tceb1"
"Module_139","Btrc,Fbxw11"
"Module_140","Ppat,Rangap1"
"Module_141","Crls1,Nars"
"Module_142","Nemf,Tcf25"
"Module_143","Cks1b,Cks2"
"Module_144","Tipin,Topbp1"
"Module_145","Glmn,Trpc4ap"
"Module_146","Blzf1,Gorasp1"
"Module_147","Dhps,Eif5a"
"Module_148","Alpl,Col4a3"
"Module_149","Eea1,Zfand5"
"Module_150","Asns,Ctps1"
"Module_151","Bsg,Slc16a1"
"Module_152","Slc3a2,Slc7a5"
"Module_153","Atp5g1,Ptcd1"
"Module_154","Atp6ap1,Atp6ap2"
"Module_155","Btbd1,Top1"
"Module_156","Chka,Etnk1"
"Module_157","Chtop,Fyttd1"
"Module_158","Colgalt1,Plod3"
"Module_159","Rgp1,Vps54"
"Module_160","Mafg,Mafk"
"Module_161","Nfat5,Slc6a6"
"Module_162","Lman1,Trappc6a"
"Module_163","Gng12,Plch1"
"Module_164","Id1,Id3"
"Module_165","Dohh,Slmo2"
"Module_166","Entpd4,Entpd6"
"Module_167","Fam134b,Map1lc3b"
"Module_168","Papd4,Zcchc9"
"Module_169","Map2k3,Mapkapk5"
"Module_170","Hmgcr,Yme1l1"
"Module_171","Pfdn5,Pfdn6"
"Module_172","Hook1,Hook2"
"Module_173","Ift20,Ift27"
"Module_174","Lnp,Reep3"
"Module_175","Marcks,Marcksl1"
"Module_176","Nudt5,Nudt9"
"Module_177","Psmg3,Psmg4"
"Module_178","Slc38a1,Slc38a2"
"Module_179","Slc39a10,Slc39a6"
"Module_180","Uqcc1,Uqcc2"
"Module_181","Larp7,Ssb"
"Module_182","Ftsj1,Ftsj3"
"Module_183","Hectd1,Wwp2"
"Module_184","Abcf1,Abcf2"
"Module_185","Ipo5,Ranbp6"
"Module_186","4833403I15Rik,Enpep"
"Module_187","Mpp6,Mpp7"
"Module_188","A630001G21Rik,Sh3rf3"
"Module_189","Eif4b,Slbp"
"Module_190","Ksr1,Rab8b"
"Module_191","Kpna2,Senp6"
"Module_192","Rrm1,Rrm2"
"Module_193","Gnb2l1,Hdlbp"
"Module_194","Tgfbr1,Trmt6"
"Module_195","Lin7a,Pard6b"
"Module_196","Rbm46,Syncrip"
"Module_197","Eomes,Tbr1"
"Module_198","Gfpt2,Mat2a"
"Module_199","Srp19,Znf593"
"Module_200","Abhd5,Acsl4"
"Module_201","Cd274,Gde1"
"Module_202","D2Wsu81e,Gar1"
"Module_203","Alyref,Dph2"
"Module_204","Ctu2,Hmgcs1"
"Module_205","Gart,Umps"
