"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene"
"TUBA3E",0.981,4.57250197921072,0.962,4.57250197921072,0.964,0.014,"OO","TUBA3E"
"SMPD3",0.981,3.79654286280698,0.962,3.79654286280698,0.969,0.017,"OO","SMPD3"
"LGALS8",0.981,3.66353127817812,0.962,3.66353127817812,0.995,0.154,"OO","LGALS8"
"KDM1B",0.981,3.40947449593457,0.962,3.40947449593457,0.981,0.061,"OO","KDM1B"
"IAH1",0.981,3.25137823684775,0.962,3.25137823684775,1,0.282,"OO","IAH1"
"TIPIN",0.981,2.75930717401537,0.962,2.75930717401537,0.983,0.076,"OO","TIPIN"
"DSG2",0.981,2.61754897410943,0.962,2.61754897410943,0.986,0.07,"OO","DSG2"
"MNS1",0.981,2.60398630108896,0.962,2.60398630108896,0.998,0.141,"OO","MNS1"
"COMMD8",0.981,2.48039355074861,0.962,2.48039355074861,0.993,0.092,"OO","COMMD8"
"RFESD",0.981,2.27602209560053,0.962,2.27602209560053,0.981,0.049,"OO","RFESD"
"PCP4",0.981,1.70895458996545,0.962,1.70895458996545,0.998,0.2,"OO","PCP4"
"ACTL8",0.98,4.45963399234191,0.96,4.45963399234191,0.962,0.009,"OO","ACTL8"
"INA",0.98,4.25925961549101,0.96,4.25925961549101,0.962,0.008,"OO","INA"
"BUB1B",0.98,4.07292232042531,0.96,4.07292232042531,0.969,0.034,"OO","BUB1B"
"MYH15",0.98,3.67556226123691,0.96,3.67556226123691,0.967,0.009,"OO","MYH15"
"GLP2R",0.98,3.50744360847191,0.96,3.50744360847191,0.964,0.008,"OO","GLP2R"
"MIPEP",0.98,3.18922859726114,0.96,3.18922859726114,0.986,0.111,"OO","MIPEP"
"ENSMFAG00000041011",0.98,2.37492294819344,0.96,2.37492294819344,1,0.281,"OO","ENSMFAG00000041011"
"ASPM",0.98,2.16440244833643,0.96,2.16440244833643,0.976,0.024,"OO","ASPM"
"SASS6",0.98,1.33228247150648,0.96,1.33228247150648,0.988,0.083,"OO","SASS6"
"COX8C",0.979,4.34039706409486,0.958,4.34039706409486,0.959,0.008,"OO","COX8C"
"LAD1",0.979,4.14041168866232,0.958,4.14041168866232,0.959,0.006,"OO","LAD1"
"AURKC",0.979,3.88898833679433,0.958,3.88898833679433,0.962,0.011,"OO","AURKC"
"HJURP",0.979,3.79675518271823,0.958,3.79675518271823,0.964,0.015,"OO","HJURP"
"TLE6",0.979,3.71010483363548,0.958,3.71010483363548,0.959,0.004,"OO","TLE6"
"BOD1",0.979,3.39834390258477,0.958,3.39834390258477,0.988,0.098,"OO","BOD1"
"ENSMFAG00000031299",0.979,3.22450668366466,0.958,3.22450668366466,0.986,0.132,"OO","ENSMFAG00000031299"
"ENSMFAG00000003189",0.979,2.92795972764234,0.958,2.92795972764234,0.971,0.018,"OO","ENSMFAG00000003189"
"TLN2",0.979,2.51647020764766,0.958,2.51647020764766,0.986,0.059,"OO","TLN2"
"USP2",0.979,2.34053062049221,0.958,2.34053062049221,0.993,0.167,"OO","USP2"
"CCDC178",0.979,0.996917702395328,0.958,0.996917702395328,0.983,0.065,"OO","CCDC178"
"C2orf74",0.978,3.99127318354149,0.956,3.99127318354149,0.957,0.004,"OO","C2orf74"
"DPEP3",0.978,3.94941271582098,0.956,3.94941271582098,0.959,0.011,"OO","DPEP3"
"TBPL2",0.978,3.80150683671024,0.956,3.80150683671024,0.959,0.006,"OO","TBPL2"
"PARPBP",0.978,3.64823818210341,0.956,3.64823818210341,0.959,0.008,"OO","PARPBP"
"SLC15A1",0.978,3.46248748891796,0.956,3.46248748891796,0.962,0.009,"OO","SLC15A1"
"GCHFR",0.978,3.26308156766179,0.956,3.26308156766179,0.981,0.081,"OO","GCHFR"
"NINJ2",0.978,3.02842672403538,0.956,3.02842672403538,0.981,0.136,"OO","NINJ2"
"CENPS-CORT",0.978,2.78961848351631,0.956,2.78961848351631,0.993,0.208,"OO","CENPS-CORT"
